variable_name,units,value,data_reference
l_PV20,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV20,metre,0.00000415,EMPTY_MUST_BE_FILLED
l_V20,metre,0.00001644,EMPTY_MUST_BE_FILLED
r_V20,metre,0.000004,EMPTY_MUST_BE_FILLED
l_V21,metre,0.00001835,EMPTY_MUST_BE_FILLED
r_V21,metre,0.000004,EMPTY_MUST_BE_FILLED
l_PV22,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV22,metre,0.0000038,EMPTY_MUST_BE_FILLED
l_V22,metre,0.00007235,EMPTY_MUST_BE_FILLED
r_V22,metre,0.000004,EMPTY_MUST_BE_FILLED
l_V23,metre,0.00001756,EMPTY_MUST_BE_FILLED
r_V23,metre,0.000004,EMPTY_MUST_BE_FILLED
l_PV24,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV24,metre,0.0000042,EMPTY_MUST_BE_FILLED
l_V24,metre,0.00006089,EMPTY_MUST_BE_FILLED
r_V24,metre,0.000004,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V24,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V24,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_PV25,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV25,metre,0.0000042,EMPTY_MUST_BE_FILLED
l_V25,metre,0.00009821,EMPTY_MUST_BE_FILLED
r_V25,metre,0.000004,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V25,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V25,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_PV26,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV26,metre,0.0000039,EMPTY_MUST_BE_FILLED
l_V26,metre,0.00004655,EMPTY_MUST_BE_FILLED
r_V26,metre,0.000004,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V26,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V26,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_PV27,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV27,metre,0.00000385,EMPTY_MUST_BE_FILLED
l_V27,metre,0.00002656,EMPTY_MUST_BE_FILLED
r_V27,metre,0.000004,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V27,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V27,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_PV28,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV28,metre,0.00000395,EMPTY_MUST_BE_FILLED
l_V28,metre,0.00001809,EMPTY_MUST_BE_FILLED
r_V28,metre,0.000004,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V28,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V28,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_V29,metre,0.00001426,EMPTY_MUST_BE_FILLED
r_V29,metre,0.000004,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V29,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V29,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_PV30,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV30,metre,0.0000042,EMPTY_MUST_BE_FILLED
l_V30,metre,0.00014386,EMPTY_MUST_BE_FILLED
r_V30,metre,0.000004,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V30,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V30,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_PV31,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV31,metre,0.00000397,EMPTY_MUST_BE_FILLED
l_V31,metre,0.00051114,EMPTY_MUST_BE_FILLED
r_V31,metre,0.000004,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V31,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V31,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_PV32,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV32,metre,0.00000411,EMPTY_MUST_BE_FILLED
l_V32,metre,0.00002947,EMPTY_MUST_BE_FILLED
r_V32,metre,0.000004,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V32,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V32,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_PV33,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV33,metre,0.0000038,EMPTY_MUST_BE_FILLED
l_V33,metre,0.00017561,EMPTY_MUST_BE_FILLED
r_V33,metre,0.000004,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V33,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V33,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_PV34,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV34,metre,0.000004,EMPTY_MUST_BE_FILLED
l_V34,metre,0.00002901,EMPTY_MUST_BE_FILLED
r_V34,metre,0.000004,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V34,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V34,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_PV35,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV35,metre,0.00000387,EMPTY_MUST_BE_FILLED
l_V35,metre,0.00012282,EMPTY_MUST_BE_FILLED
r_V35,metre,0.000004,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V35,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V35,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_V36,metre,0.00001995,EMPTY_MUST_BE_FILLED
r_V36,metre,0.000004,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V36,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V36,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_PV37,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV37,metre,0.0000041,EMPTY_MUST_BE_FILLED
l_V37,metre,0.00008348,EMPTY_MUST_BE_FILLED
r_V37,metre,0.000004,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V37,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V37,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_V38,metre,0.00002549,EMPTY_MUST_BE_FILLED
r_V38,metre,0.000004,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V38,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V38,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_VV_junc1,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc1,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc1,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc1,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc1,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc1,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
div_0,dimensionless,1.00E-25,EMPTY_MUST_BE_FILLED
div_0y,dimensionless,0.00000001,EMPTY_MUST_BE_FILLED
v_threshold,m3_per_s,1.00E-22,EMPTY_MUST_BE_FILLED
k,dimensionless,1000,EMPTY_MUST_BE_FILLED
R_VV_junc,Js_per_m6,30000000000000,EMPTY_MUST_BE_FILLED
l_VV_junc2,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc2,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc2,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc2,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc2,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc2,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc3,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc3,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc3,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc3,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc3,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc3,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc4,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc4,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc4,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc4,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc4,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc4,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc5,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc5,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc4_VV_junc5,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to4_VV_junc5,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc4_VV_junc5,metre,0,EMPTY_MUST_BE_FILLED
C_conn4_VV_junc5,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc6,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc6,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc6,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc6,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc6,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc6,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc7,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc7,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc7,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc7,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc7,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc7,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc8,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc8,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc8,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc8,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc8,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc8,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc9,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc9,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc9,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc9,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc9,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc9,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc10,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc10,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc10,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc10,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc10,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc10,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc11,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc11,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc11,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc11,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc11,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc11,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc12,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc12,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc4_VV_junc12,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to4_VV_junc12,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc4_VV_junc12,metre,0,EMPTY_MUST_BE_FILLED
C_conn4_VV_junc12,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc13,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc13,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc13,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc13,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc13,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc13,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc14,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc14,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc14,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc14,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc14,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc14,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc15,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc15,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc15,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc15,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc15,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc15,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc16,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc16,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc16,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc16,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc16,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc16,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc17,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc17,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc17,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc17,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc17,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc17,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc18,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc18,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc18,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc18,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc18,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc18,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc19,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc19,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc19,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc19,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc19,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc19,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
l_VV_junc20,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc20,metre,0.000004,EMPTY_MUST_BE_FILLED
vbc2_VV_junc20,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc20,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc20,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc20,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
